code,title,description,skills,tasks
25-1081.00,"Education Teachers, Postsecondary","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""active learning"", ""learning strategies"", ""instructing""]","[""prepare course materials, such as syllabi, homework assignments, and handouts."", ""conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."", ""compile, administer, and grade examinations, or assign this work to others."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""supervise students' fieldwork, internship, and research work."", ""evaluate and grade students' class work, assignments, and papers."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as children's literature, learning and development, and reading instruction."", ""initiate, facilitate, and moderate classroom discussions."", ""collaborate with colleagues to address teaching and research issues.""]"
25-1082.00,"Library Science Teachers, Postsecondary",Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,"[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""active learning"", ""learning strategies"", ""monitoring"", ""instructing""]","[""conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences."", ""evaluate and grade students' class work, assignments, and papers."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, giving presentations at conferences, and serving on committees in professional associations."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as collection development, archival methods, and indexing and abstracting."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""initiate, facilitate, and moderate classroom discussions."", ""compile, administer, and grade examinations, or assign this work to others."", ""maintain student attendance records, grades, and other required records."", ""advise students on academic and vocational curricula and on career issues."", ""select and obtain materials and supplies, such as textbooks."", ""supervise undergraduate or graduate teaching, internship, and research work."", ""develop and teach online courses."", ""collaborate with colleagues to address teaching and research issues.""]"
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""active learning"", ""learning strategies"", ""instructing""]","[""prepare and deliver lectures to undergraduate or graduate students on topics such as criminal law, defensive policing, and investigation techniques."", ""initiate, facilitate, and moderate classroom discussions."", ""evaluate and grade students' class work, assignments, and papers."", ""compile, administer, and grade examinations, or assign this work to others."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""maintain student attendance records, grades, and other required records."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""maintain regularly scheduled office hours to advise and assist students."", ""advise students on academic and vocational curricula and on career issues.""]"
25-1112.00,"Law Teachers, Postsecondary",Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,"[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""active learning"", ""learning strategies"", ""instructing""]","[""initiate, facilitate, and moderate classroom discussions."", ""evaluate and grade students' class work, assignments, papers, and oral presentations."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""compile, administer, and grade examinations, or assign this work to others."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as civil procedure, contracts, and torts."", ""maintain student attendance records, grades, and other required records."", ""conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""maintain regularly scheduled office hours to advise and assist students.""]"
25-1113.00,"Social Work Teachers, Postsecondary",Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,"[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""active learning"", ""learning strategies"", ""instructing""]","[""initiate, facilitate, and moderate classroom discussions."", ""prepare course materials, such as syllabi, homework assignments, or handouts."", ""compile, administer, and grade examinations, or assign this work to others."", ""supervise students' laboratory and field work."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior, child and adolescent mental health, or social intervention evaluation."", ""supervise undergraduate or graduate teaching, internship, and research work."", ""evaluate and grade students' class work, assignments, and papers."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""collaborate with colleagues and community agencies to address teaching and research issues."", ""advise students on academic and vocational curricula and on career issues.""]"
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","[""reading comprehension"", ""active listening"", ""speaking"", ""active learning"", ""learning strategies"", ""instructing""]","[""explain and demonstrate artistic techniques."", ""evaluate and grade students' class work, performances, projects, assignments, and papers."", ""prepare students for performances, exams, or assessments."", ""initiate, facilitate, and moderate classroom discussions."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as acting techniques, fundamentals of music, and art history."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""maintain student attendance records, grades, and other required records."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""compile, administer, and grade examinations, or assign this work to others."", ""maintain regularly scheduled office hours to advise and assist students.""]"
25-1122.00,"Communications Teachers, Postsecondary","Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""active learning"", ""learning strategies"", ""instructing""]","[""evaluate and grade students' class work, assignments, and papers."", ""initiate, facilitate, and moderate classroom discussions."", ""compile, administer, and grade examinations, or assign this work to others."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as public speaking, media criticism, and oral traditions."", ""maintain student attendance records, grades, and other required records."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""maintain regularly scheduled office hours to advise and assist students."", ""advise students on academic and vocational curricula and on career issues."", ""select and obtain materials and supplies, such as textbooks.""]"
25-1123.00,"English Language and Literature Teachers, Postsecondary","Teach courses in English language and literature, including linguistics and comparative literature. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""learning strategies"", ""instructing""]","[""teach writing or communication classes."", ""evaluate and grade students' class work, assignments, and papers."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""initiate, facilitate, and moderate classroom discussions."", ""maintain student attendance records, grades, and other required records."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as poetry, novel structure, and translation and adaptation."", ""assist students who need extra help with their coursework outside of class."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""compile, administer, and grade examinations, or assign this work to others.""]"
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,"[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""learning strategies"", ""instructing""]","[""prepare course materials, such as syllabi, homework assignments, and handouts."", ""maintain student attendance records, grades, and other required records."", ""evaluate and grade students' class work, assignments, and papers."", ""initiate, facilitate, and moderate classroom discussions."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used."", ""conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media."", ""keep abreast of developments in their field by reading current literature, talking with colleagues, and participating in professional organizations and activities."", ""compile, administer, and grade examinations, or assign this work to others."", ""maintain regularly scheduled office hours to advise and assist students."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""select and obtain materials and supplies, such as textbooks.""]"
25-1125.00,"History Teachers, Postsecondary",Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,"[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""learning strategies"", ""instructing""]","[""prepare course materials, such as syllabi, homework assignments, and handouts."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as ancient history, postwar civilizations, and the history of third-world countries."", ""initiate, facilitate, and moderate classroom discussions."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."", ""compile, administer, and grade examinations, or assign this work to others."", ""evaluate and grade students' class work, assignments, and papers."", ""maintain student attendance records, grades, and other required records."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""select and obtain materials and supplies, such as textbooks."", ""maintain regularly scheduled office hours to advise and assist students.""]"
25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""instructing""]","[""evaluate and grade students' class work, assignments, and papers."", ""initiate, facilitate, and moderate classroom discussions."", ""prepare and deliver lectures to undergraduate or graduate students and the community on topics such as ethics, logic, and contemporary religious thought."", ""compile, administer, and grade examinations, or assign this work to others."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""maintain student attendance records, grades, and other required records."", ""write articles and books."", ""perform administrative duties, such as serving as department head."", ""conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.""]"
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","[""reading comprehension"", ""active listening"", ""speaking"", ""learning strategies"", ""instructing""]","[""evaluate and grade students' class work, laboratory work, projects, assignments, and papers."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as food science, nutrition, and child care."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""initiate, facilitate, and moderate classroom discussions."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""compile, administer, and grade examinations, or assign this work to others."", ""maintain student attendance records, grades, and other required records."", ""maintain regularly scheduled office hours to advise and assist students."", ""advise students on academic and vocational curricula and on career issues."", ""supervise undergraduate or graduate teaching, internship, and research work."", ""select and obtain materials and supplies, such as textbooks.""]"
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""learning strategies"", ""instructing""]","[""initiate, facilitate, and moderate classroom discussions."", ""prepare course materials, such as syllabi, homework assignments, and handouts."", ""maintain student attendance records, grades, and other required records."", ""evaluate and grade students' class work, assignments, and papers."", ""prepare and deliver lectures to undergraduate or graduate students on topics such as anatomy, therapeutic recreation, and conditioning theory."", ""plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."", ""keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."", ""compile, administer, and grade examinations, or assign this work to others."", ""advise students on academic and vocational curricula and on career issues."", ""supervise undergraduate or graduate teaching, internship, and research work."", ""maintain regularly scheduled office hours to advise and assist students.""]"
25-1194.00,"Career/Technical Education Teachers, Postsecondary","Teach vocational courses intended to provide occupational training below the baccalaureate level in subjects such as construction, mechanics/repair, manufacturing, transportation, or cosmetology, primarily to students who have graduated from or left high school. Teaching takes place in public or private schools whose primary business is academic or vocational education.","[""active listening"", ""learning strategies"", ""instructing""]","[""observe and evaluate students' work to determine progress, provide feedback, and make suggestions for improvement."", ""present lectures and conduct discussions to increase students' knowledge and competence using visual aids, such as graphs, charts, videotapes, and slides."", ""supervise and monitor students' use of tools and equipment."", ""administer oral, written, or performance tests to measure progress and to evaluate training effectiveness."", ""provide individualized instruction and tutorial or remedial instruction."", ""prepare reports and maintain records, such as student grades, attendance rolls, and training activity details."", ""develop curricula and plan course content and methods of instruction."", ""determine training needs of students or workers."", ""supervise independent or group projects, field placements, laboratory work, or other training."", ""integrate academic and vocational curricula so that students can obtain a variety of skills."", ""select and assemble books, materials, supplies, and equipment for training, courses, or projects."", ""conduct on-the-job training classes or training sessions to teach and demonstrate principles, techniques, procedures, or methods of designated subjects."", ""acquire, maintain, and repair laboratory equipment and tools.""]"
25-2011.00,"Preschool Teachers, Except Special Education","Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth.","[""speaking"", ""instructing""]","[""teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills."", ""establish and enforce rules for behavior and procedures for maintaining order."", ""adapt teaching methods and instructional materials to meet students' varying needs and interests."", ""provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play."", ""serve meals and snacks in accordance with nutritional guidelines."", ""attend to children's basic needs by feeding them, dressing them, and changing their diapers."", ""meet with parents and guardians to discuss their children's progress and needs, determine their priorities for their children, and suggest ways that they can promote learning and development."", ""organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, storytelling, and field trips."", ""identify children showing signs of emotional, developmental, or health-related problems and discuss them with supervisors, parents or guardians, and child development specialists."", ""maintain accurate and complete student records as required by laws, district policies, and administrative regulations."", ""assimilate arriving children to the school environment by greeting them, helping them remove outerwear, and selecting activities of interest to them."", ""observe and evaluate children's performance, behavior, social development, and physical health."", ""prepare materials and classrooms for class activities."", ""read books to entire classes or to small groups."", ""establish clear objectives for all lessons, units, and projects and communicate those objectives to children."", ""arrange indoor and outdoor space to facilitate creative play, motor-skill activities, and safety."", ""teach proper eating habits and personal hygiene."", ""demonstrate activities to children."", ""plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."", ""enforce all administration policies and rules governing students."", ""prepare and implement remedial programs for students requiring extra help."", ""confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.""]"
25-2012.00,"Kindergarten Teachers, Except Special Education",Teach academic and social skills to kindergarten students.,"[""active listening"", ""speaking"", ""learning strategies"", ""monitoring"", ""social perceptiveness"", ""instructing""]","[""establish and enforce rules for behavior and policies and procedures to maintain order among students."", ""prepare children for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks."", ""instruct students individually and in groups, adapting teaching methods to meet students' varying needs and interests."", ""teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills."", ""demonstrate activities to children."", ""read books to entire classes or to small groups."", ""guide and counsel students with adjustment or academic problems or special academic interests."", ""observe and evaluate children's performance, behavior, social development, and physical health."", ""provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play."", ""prepare and implement remedial programs for students requiring extra help."", ""identify children showing signs of emotional, developmental, or health-related problems and discuss them with supervisors, parents or guardians, and child development specialists."", ""maintain accurate and complete student records and prepare reports on children and activities as required by laws, district policies, and administrative regulations."", ""establish clear objectives for all lessons, units, and projects and communicate those objectives to children."", ""plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."", ""confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems."", ""organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, and storytelling."", ""meet with parents and guardians to discuss their children's progress and to determine their priorities for their children and their resource needs."", ""use computers, audio-visual aids, and other equipment and materials to supplement presentations."", ""meet with other professionals to discuss individual students' needs and progress."", ""instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage."", ""prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools."", ""assimilate arriving children to the school environment by greeting them, helping them remove outerwear, and selecting activities of interest to them."", ""collaborate with other teachers and administrators in the development, evaluation, and revision of kindergarten programs."", ""prepare materials, classrooms, and other indoor and outdoor spaces to facilitate creative play, learning and motor-skill activities, and safety."", ""prepare, administer, and grade tests and assignments to evaluate children's progress."", ""confer with other staff members to plan and schedule lessons promoting learning, following approved curricula."", ""organize and label materials and display children's work in a manner appropriate for their sizes and perceptual skills."", ""prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.""]"
25-2021.00,"Elementary School Teachers, Except Special Education",Teach academic and social skills to students at the elementary school level.,"[""active listening"", ""speaking"", ""critical thinking"", ""learning strategies"", ""monitoring"", ""social perceptiveness"", ""instructing""]","[""instruct students individually and in groups, using teaching methods such as lectures, discussions, and demonstrations."", ""establish and enforce rules for behavior and procedures for maintaining order among the students."", ""guide and counsel students with adjustment or academic problems or with special academic interests."", ""adapt teaching methods and instructional materials to meet students' varying needs and interests."", ""plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."", ""prepare materials and classrooms for class activities."", ""read books to entire classes or small groups."", ""observe and evaluate students' performance, behavior, social development, and physical health."", ""confer with parents or guardians, teachers, counselors, and administrators to resolve students' behavioral and academic problems."", ""meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs."", ""use computers, audio-visual aids, and other equipment and materials to supplement presentations."", ""meet with other professionals to discuss individual students' needs and progress."", ""establish clear objectives for all lessons, units, and projects and communicate those objectives to students."", ""prepare and implement remedial programs for students requiring extra help."", ""assign and grade class work and homework."", ""prepare, administer, and grade tests and assignments to evaluate students' progress."", ""prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks."", ""maintain accurate and complete student records as required by laws, district policies, and administrative regulations."", ""enforce administration policies and rules governing students."", ""organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, and storytelling."", ""provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play."", ""prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools."", ""prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors."", ""instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage."", ""confer with other staff members to plan and schedule lessons promoting learning, following approved curricula."", ""collaborate with other teachers and administrators in the development, evaluation, and revision of elementary school programs.""]"
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Teach one or more subjects to students at the middle, intermediate, or junior high school level.","[""active listening"", ""speaking"", ""learning strategies"", ""instructing""]","[""prepare materials and classrooms for class activities."", ""observe and evaluate students' performance, behavior, social development, and physical health."", ""instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies."", ""prepare, administer, and grade tests and assignments to evaluate students' progress."", ""establish and enforce rules for behavior and procedures for maintaining order among students."", ""establish clear objectives for all lessons, units, and projects, and communicate these objectives to students."", ""assign lessons and correct homework."", ""assist students who need extra help, such as by tutoring and preparing and implementing remedial programs."", ""confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems."", ""maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations."", ""plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."", ""adapt teaching methods and instructional materials to meet students' varying needs and interests."", ""enforce all administration policies and rules governing students."", ""prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.""]"
25-2023.00,"Career/Technical Education Teachers, Middle School","Teach occupational, vocational, career, or technical subjects to students at the middle, intermediate, or junior high school level.","[""reading comprehension"", ""active listening"", ""speaking"", ""learning strategies"", ""instructing""]","[""instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations."", ""prepare materials and classrooms for class activities."", ""adapt teaching methods and instructional materials to meet students' varying needs and interests."", ""establish and enforce rules for behavior and procedures for maintaining order among students."", ""establish clear objectives for all lessons, units, and projects, and communicate those objectives to students."", ""prepare students for later educational experiences by encouraging them to explore learning opportunities and to persevere with challenging tasks."", ""maintain accurate and complete student records as required by laws, district policies, and administrative regulations."", ""instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage."", ""assign and grade class work and homework."", ""enforce all administration policies and rules governing students."", ""prepare, administer, and grade tests and assignments to evaluate students' progress."", ""prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools."", ""confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems."", ""use computers, audio-visual aids, and other equipment and materials to supplement presentations."", ""plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."", ""guide and counsel students with adjustments, academic problems, or special academic interests."", ""observe and evaluate students' performance, behavior, social development, and physical health."", ""select, store, order, issue, inventory, and maintain classroom equipment, materials, and supplies."", ""meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs."", ""provide students with disabilities with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.""]"
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Teach one or more subjects to students at the secondary school level.,"[""reading comprehension"", ""active listening"", ""speaking"", ""learning strategies"", ""instructing""]","[""prepare materials and classrooms for class activities."", ""instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies."", ""establish clear objectives for all lessons, units, and projects, and communicate those objectives to students."", ""establish and enforce rules for behavior and procedures for maintaining order among students."", ""adapt teaching methods and instructional materials to meet students' varying needs and interests."", ""maintain accurate and complete student records as required by laws, district policies, and administrative regulations."", ""observe and evaluate students' performance, behavior, social development, and physical health."", ""plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."", ""confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems."", ""assign and grade class work and homework."", ""prepare, administer, and grade tests and assignments to evaluate students' progress."", ""prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks."", ""use computers, audio-visual aids, and other equipment and materials to supplement presentations."", ""instruct and monitor students in the use of equipment and materials to prevent injuries and damage."", ""enforce all administration policies and rules governing students.""]"
25-2032.00,"Career/Technical Education Teachers, Secondary School","Teach occupational, vocational, career, or technical subjects to students at the secondary school level.","[""reading comprehension"", ""active listening"", ""speaking"", ""instructing""]","[""instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations."", ""establish and enforce rules for behavior and procedures for maintaining order among students."", ""observe and evaluate students' performance, behavior, social development, and physical health."", ""prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools."", ""plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."", ""establish clear objectives for all lessons, units, and projects, and communicate those objectives to students."", ""maintain accurate and complete student records as required by law, district policy, and administrative regulations."", ""instruct and monitor students in the use and care of equipment and materials to prevent injury and damage."", ""prepare materials and classroom for class activities."", ""assign and grade class work and homework."", ""confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems."", ""instruct students in the knowledge and skills required in a specific occupation or occupational field, using a systematic plan of lectures, discussions, audio-visual presentations, and laboratory, shop, and field studies."", ""use computers, audio-visual aids, and other equipment and materials to supplement presentations."", ""prepare, administer, and grade tests and assignments to evaluate students' progress."", ""enforce all administration policies and rules governing students."", ""prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks."", ""plan and supervise work-experience programs in businesses, industrial shops, and school laboratories."", ""meet with other professionals to discuss individual students' needs and progress."", ""guide and counsel students with adjustments, academic problems, or special academic interests.""]"
25-2051.00,"Special Education Teachers, Preschool","Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","[""active listening"", ""speaking""]","[""employ special educational strategies or techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, or memory."", ""teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement."", ""communicate nonverbally with children to provide them with comfort, encouragement, or positive reinforcement."", ""teach basic skills, such as color, shape, number and letter recognition, personal hygiene, or social skills, to preschool students with special needs."", ""develop individual educational plans (ieps) designed to promote students' educational, physical, or social development."", ""confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual education plans (ieps)."", ""teach students personal development skills, such as goal setting, independence, or self-advocacy."", ""develop or implement strategies to meet the needs of students with a variety of disabilities."", ""observe and evaluate students' performance, behavior, social development, and physical health."", ""instruct and monitor students in the use and care of equipment or materials to prevent injuries and damage."", ""administer tests to help determine children's developmental levels, needs, or potential."", ""establish and enforce rules for behavior and procedures for maintaining order among students."", ""attend to children's basic needs by feeding them, dressing them, or changing their diapers."", ""prepare classrooms with a variety of materials or resources for children to explore, manipulate, or use in learning activities or imaginative play."", ""monitor teachers or teacher assistants to ensure adherence to special education program requirements."", ""encourage students to explore learning opportunities or persevere with challenging tasks to prepare them for later grades."", ""meet with parents or guardians to discuss their children's progress, advise them on using community resources, or teach skills for dealing with students' impairments."", ""confer with parents, guardians, teachers, counselors, or administrators to resolve students' behavioral or academic problems."", ""maintain accurate and complete student records as required by laws, district policies, or administrative regulations."", ""establish and communicate clear objectives for all lessons, units, and projects to students, parents, or guardians."", ""modify the general preschool curriculum for students with disabilities."", ""provide assistive devices, supportive technology, or assistance accessing facilities, such as restrooms."", ""organize and supervise games or other recreational activities to promote physical, mental, or social development."", ""prepare objectives, outlines, or other materials for courses of study, following curriculum guidelines or requirements."", ""attend professional meetings, educational conferences, or teacher training workshops to maintain or improve professional competence."", ""read books to entire classes or to small groups."", ""prepare reports on students and activities as required by administration."", ""arrange indoor or outdoor space to facilitate creative play, motor-skill activities, or safety.""]"
25-2057.00,"Special Education Teachers, Middle School","Teach academic, social, and life skills to middle school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","[""active listening"", ""speaking"", ""active learning"", ""learning strategies"", ""instructing""]","[""establish and enforce rules for behavior and policies and procedures to maintain order among students."", ""modify the general education curriculum for students with disabilities, based upon a variety of instructional techniques and instructional technology."", ""develop or write individualized education programs (ieps) for students."", ""maintain accurate and complete student records, and prepare reports on children and activities, as required by laws, district policies, and administrative regulations."", ""develop and implement strategies to meet the needs of students with a variety of handicapping conditions."", ""teach socially acceptable behavior, employing techniques such as behavior modification and positive reinforcement."", ""confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems."", ""confer with parents, administrators, testing specialists, social workers, and professionals to develop individual educational plans (ieps) for students' educational, physical, and social development."", ""observe and evaluate students' performance, behavior, social development, and physical health."", ""employ special educational strategies and techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, and memory."", ""collaborate with other teachers that provide instruction to special education students to ensure that the students receive appropriate support."", ""teach students personal development skills, such as goal setting, independence, and self-advocacy."", ""plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."", ""meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs."", ""monitor teachers and teacher assistants to ensure that they adhere to inclusive special education program requirements."", ""prepare materials and classrooms for class activities."", ""prepare, administer, and grade tests and assignments to evaluate students' progress."", ""coordinate placement of students with special needs into mainstream classes."", ""use computers, audio-visual aids, and other equipment and materials to supplement presentations."", ""instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies."", ""establish clear objectives for all lessons, units, and projects, and communicate those objectives to students."", ""guide and counsel students with adjustments, academic problems, or special academic interests."", ""instruct students in daily living skills required for independent maintenance and self-sufficiency, such as hygiene, safety, and food preparation.""]"
